image_file,L1,L2,L3,angle
OLYMPUS DIGITAL CAMERA0087.JPG,24.707008361816406,22.012441635131836,19.285232543945312,100.0792493347518
OLYMPUS DIGITAL CAMERA0088.JPG,24.59544563293457,22.014949798583984,19.441001892089844,101.32424941518616
OLYMPUS DIGITAL CAMERA0089.JPG,24.8343448638916,22.100404739379883,19.6535701751709,100.69623460458085
OLYMPUS DIGITAL CAMERA0090.JPG,24.834699630737305,22.32610321044922,19.59308433532715,101.50120531276188
OLYMPUS DIGITAL CAMERA0091.JPG,24.850387573242188,22.485546112060547,19.513195037841797,101.63721974229654
OLYMPUS DIGITAL CAMERA0092.JPG,25.051448822021484,22.15791893005371,20.143409729003906,100.75912736072034
OLYMPUS DIGITAL CAMERA0093.JPG,24.820823669433594,22.244426727294922,19.7535343170166,101.70973391882949
OLYMPUS DIGITAL CAMERA0094.JPG,25.233577728271484,22.566410064697266,19.685335159301758,100.45300340285445
OLYMPUS DIGITAL CAMERA0095.JPG,25.513715744018555,22.263505935668945,20.44401741027832,99.86799023980213
OLYMPUS DIGITAL CAMERA0096.JPG,25.70682144165039,23.02752685546875,19.99323844909668,98.81888483819729
OLYMPUS DIGITAL CAMERA0097.JPG,25.042072296142578,22.16852378845215,20.23616600036621,101.32427118331796
OLYMPUS DIGITAL CAMERA0098.JPG,25.62649154663086,22.633075714111328,21.613109588623047,96.98958095590969
OLYMPUS DIGITAL CAMERA0099.JPG,25.67837905883789,22.942577362060547,21.73533821105957,96.80268668821508
OLYMPUS DIGITAL CAMERA0100.JPG,25.53158187866211,22.86916160583496,22.041015625,96.94365893668049
OLYMPUS DIGITAL CAMERA0101.JPG,25.537357330322266,22.945335388183594,22.09192657470703,98.083477530231
OLYMPUS DIGITAL CAMERA0102.JPG,25.643259048461914,22.863500595092773,22.268022537231445,99.05293705472027
OLYMPUS DIGITAL CAMERA0103.JPG,25.694978713989258,23.101306915283203,22.31924057006836,98.52703323053044
OLYMPUS DIGITAL CAMERA0104.JPG,25.808713912963867,23.025436401367188,22.56365966796875,98.08138808180249
OLYMPUS DIGITAL CAMERA0105.JPG,26.34716796875,23.180952072143555,22.387264251708984,98.46499772302398
OLYMPUS DIGITAL CAMERA0106.JPG,26.30460548400879,22.982595443725586,22.320798873901367,98.94441605230867
OLYMPUS DIGITAL CAMERA0107.JPG,26.180034637451172,23.180952072143555,22.24182891845703,98.51401722563618
OLYMPUS DIGITAL CAMERA0108.JPG,26.32029151916504,23.097272872924805,22.77692222595215,97.59475610169314
OLYMPUS DIGITAL CAMERA0109.JPG,26.286544799804688,23.097272872924805,23.208866119384766,96.69945143643922
OLYMPUS DIGITAL CAMERA0110.JPG,26.41034698486328,23.09686279296875,23.51054573059082,95.85365574868436
OLYMPUS DIGITAL CAMERA0111.JPG,26.849027633666992,23.253511428833008,23.44286346435547,95.99297433773049
OLYMPUS DIGITAL CAMERA0112.JPG,27.266416549682617,23.253511428833008,23.374053955078125,96.94804580490981
OLYMPUS DIGITAL CAMERA0113.JPG,27.287647247314453,23.134462356567383,23.3853702545166,98.50170780908591
OLYMPUS DIGITAL CAMERA0114.JPG,27.262929916381836,23.1754207611084,23.472370147705078,98.44070695815495
OLYMPUS DIGITAL CAMERA0115.JPG,27.372079849243164,23.332202911376953,24.04439926147461,97.42954931041065
OLYMPUS DIGITAL CAMERA0116.JPG,27.83249282836914,23.490720748901367,23.85178565979004,97.6044418615587
OLYMPUS DIGITAL CAMERA0117.JPG,27.840103149414062,23.568273544311523,23.855440139770508,98.1341803762597
OLYMPUS DIGITAL CAMERA0118.JPG,27.83249282836914,23.490720748901367,24.223947525024414,98.01500649823959
OLYMPUS DIGITAL CAMERA0119.JPG,28.07517433166504,23.570539474487305,23.96026039123535,98.63530941667136
OLYMPUS DIGITAL CAMERA0120.JPG,27.955047607421875,23.647846221923828,24.134536743164062,99.82718481861035
OLYMPUS DIGITAL CAMERA0121.JPG,27.968551635742188,23.365741729736328,24.646970748901367,100.2537965616593
OLYMPUS DIGITAL CAMERA0122.JPG,28.075481414794922,23.493427276611328,24.885787963867188,99.87774390783969
OLYMPUS DIGITAL CAMERA0123.JPG,28.062891006469727,23.339826583862305,25.06476402282715,100.1767715809765
OLYMPUS DIGITAL CAMERA0124.JPG,28.079748153686523,23.72535514831543,24.667709350585938,100.64694585471756
OLYMPUS DIGITAL CAMERA0125.JPG,27.968551635742188,23.365741729736328,24.843761444091797,101.60164652959683
OLYMPUS DIGITAL CAMERA0126.JPG,28.1953182220459,23.426727294921875,25.24329376220703,100.21788475936117
OLYMPUS DIGITAL CAMERA0127.JPG,28.074222564697266,23.7277889251709,25.04471778869629,100.26654057725978
OLYMPUS DIGITAL CAMERA0128.JPG,28.655879974365234,23.65072250366211,25.06291961669922,100.4521673447654
OLYMPUS DIGITAL CAMERA0129.JPG,28.89321517944336,23.659643173217773,25.324426651000977,100.09546037183966
OLYMPUS DIGITAL CAMERA0130.JPG,28.728294372558594,23.66068458557129,25.40421485900879,100.6034273503058
OLYMPUS DIGITAL CAMERA0131.JPG,29.04246711730957,23.589740753173828,25.70513916015625,99.90662010107397
OLYMPUS DIGITAL CAMERA0132.JPG,28.68226432800293,23.367919921875,25.3128662109375,101.69400319028789
OLYMPUS DIGITAL CAMERA0133.JPG,28.955352783203125,23.366365432739258,25.610401153564453,100.78383549316122
OLYMPUS DIGITAL CAMERA0134.JPG,28.83091926574707,23.732929229736328,25.290149688720703,100.29971057076786
OLYMPUS DIGITAL CAMERA0135.JPG,29.276365280151367,23.591392517089844,25.76512908935547,99.70145353647624
OLYMPUS DIGITAL CAMERA0136.JPG,29.305580139160156,23.526884078979492,25.456539154052734,100.82828569508533
OLYMPUS DIGITAL CAMERA0137.JPG,29.73766326904297,23.527727127075195,25.754657745361328,99.928673936982
OLYMPUS DIGITAL CAMERA0138.JPG,29.491186141967773,23.446863174438477,25.682336807250977,100.3550184345359
OLYMPUS DIGITAL CAMERA0139.JPG,29.382577896118164,23.674692153930664,25.362340927124023,101.02950010507094
OLYMPUS DIGITAL CAMERA0140.JPG,29.873571395874023,23.83245277404785,26.16547966003418,97.8567525546033
OLYMPUS DIGITAL CAMERA0141.JPG,29.75114631652832,23.91318130493164,26.018278121948242,98.104608904159
OLYMPUS DIGITAL CAMERA0142.JPG,29.639413833618164,23.841758728027344,25.437698364257812,100.02142555879583
OLYMPUS DIGITAL CAMERA0143.JPG,29.63515281677246,24.057355880737305,25.5196533203125,99.17888940086357
OLYMPUS DIGITAL CAMERA0144.JPG,30.513551712036133,23.92898178100586,26.1500244140625,97.78196584635768
OLYMPUS DIGITAL CAMERA0145.JPG,30.50758171081543,23.92898178100586,26.1500244140625,97.78196584635768
OLYMPUS DIGITAL CAMERA0146.JPG,30.515769958496094,24.161815643310547,26.05984115600586,97.4355186785149
OLYMPUS DIGITAL CAMERA0147.JPG,30.61187744140625,24.155515670776367,26.38912582397461,96.7970574347009
OLYMPUS DIGITAL CAMERA0148.JPG,30.490135192871094,23.997255325317383,26.395410537719727,97.17259594576157
OLYMPUS DIGITAL CAMERA0149.JPG,30.63729476928711,24.09315299987793,26.052745819091797,98.0145848846457
OLYMPUS DIGITAL CAMERA0150.JPG,30.500986099243164,24.222118377685547,25.81052589416504,97.91695554697941
OLYMPUS DIGITAL CAMERA0151.JPG,30.52204704284668,24.388534545898438,25.815570831298828,97.1566174618167
OLYMPUS DIGITAL CAMERA0152.JPG,30.73208999633789,23.862218856811523,26.203510284423828,97.80305068637206
OLYMPUS DIGITAL CAMERA0153.JPG,30.744157791137695,24.08863639831543,25.95944595336914,97.88904699548473
OLYMPUS DIGITAL CAMERA0154.JPG,30.979867935180664,24.560285568237305,26.388246536254883,95.48110461375481
OLYMPUS DIGITAL CAMERA0155.JPG,30.754344940185547,24.469789505004883,26.255796432495117,97.1285258909467
OLYMPUS DIGITAL CAMERA0156.JPG,30.989171981811523,24.34075927734375,27.13407325744629,97.19023281949721
OLYMPUS DIGITAL CAMERA0157.JPG,30.873964309692383,24.34075927734375,27.628149032592773,96.81508985100332
OLYMPUS DIGITAL CAMERA0158.JPG,31.391143798828125,24.41706657409668,27.626174926757812,98.05162043620362
OLYMPUS DIGITAL CAMERA0159.JPG,31.391143798828125,24.647188186645508,27.912281036376953,96.99098775975865
OLYMPUS DIGITAL CAMERA0160.JPG,31.278884887695312,24.562747955322266,28.1765079498291,96.77038536703988
OLYMPUS DIGITAL CAMERA0161.JPG,31.47027015686035,24.578195571899414,28.618616104125977,95.8762345874701
OLYMPUS DIGITAL CAMERA0162.JPG,31.25663185119629,24.70537567138672,27.8048152923584,97.41075059242033
OLYMPUS DIGITAL CAMERA0163.JPG,31.52838706970215,24.425912857055664,28.49540901184082,96.26096172516677
OLYMPUS DIGITAL CAMERA0164.JPG,31.81283187866211,24.584136962890625,28.344913482666016,95.93668722483483
OLYMPUS DIGITAL CAMERA0165.JPG,31.558752059936523,24.651714324951172,28.120418548583984,96.39125981396221
OLYMPUS DIGITAL CAMERA0166.JPG,31.659996032714844,24.42764663696289,28.42656707763672,96.44317135803068
OLYMPUS DIGITAL CAMERA0167.JPG,32.03780746459961,25.408662796020508,28.17050552368164,95.08809210582655
OLYMPUS DIGITAL CAMERA0168.JPG,32.25602340698242,25.35287857055664,28.60358238220215,94.0731785799609
OLYMPUS DIGITAL CAMERA0169.JPG,32.36079788208008,25.298587799072266,28.906919479370117,93.44291064505589
OLYMPUS DIGITAL CAMERA0170.JPG,32.22834777832031,25.36947250366211,28.419551849365234,94.25560715282852
OLYMPUS DIGITAL CAMERA0171.JPG,32.360591888427734,25.290185928344727,28.69393539428711,94.01929837304169
OLYMPUS DIGITAL CAMERA0172.JPG,32.3835563659668,25.63233184814453,28.110187530517578,95.74307395870711
OLYMPUS DIGITAL CAMERA0173.JPG,32.63288116455078,25.420576095581055,29.07319450378418,95.07771637372613
OLYMPUS DIGITAL CAMERA0174.JPG,32.2958869934082,25.475666046142578,28.696640014648438,95.91965470706621
OLYMPUS DIGITAL CAMERA0175.JPG,32.511810302734375,25.712671279907227,29.1038761138916,94.27398043755522
OLYMPUS DIGITAL CAMERA0176.JPG,32.52713394165039,25.713768005371094,29.117576599121094,94.60218869631473
OLYMPUS DIGITAL CAMERA0177.JPG,32.517948150634766,25.782337188720703,28.80954933166504,94.86878479710307
OLYMPUS DIGITAL CAMERA0178.JPG,32.63434982299805,25.867740631103516,29.166004180908203,94.10637587364177
OLYMPUS DIGITAL CAMERA0179.JPG,32.51838302612305,25.555553436279297,29.160051345825195,94.50885127359705
OLYMPUS DIGITAL CAMERA0180.JPG,32.74732208251953,25.662410736083984,29.485681533813477,93.48028661242009
OLYMPUS DIGITAL CAMERA0181.JPG,33.22733688354492,25.86960220336914,29.27293586730957,93.37853862730535
OLYMPUS DIGITAL CAMERA0182.JPG,32.87836837768555,26.117008209228516,29.322710037231445,93.19962885212615
OLYMPUS DIGITAL CAMERA0183.JPG,32.76449966430664,25.654184341430664,29.48447608947754,94.19762978614513
OLYMPUS DIGITAL CAMERA0184.JPG,32.87836837768555,26.117008209228516,29.322710037231445,93.19962885212615
OLYMPUS DIGITAL CAMERA0185.JPG,33.00347137451172,25.60182762145996,29.38405418395996,94.30639513553261
OLYMPUS DIGITAL CAMERA0186.JPG,32.87836837768555,26.039493560791016,29.25411605834961,93.54828522068186
OLYMPUS DIGITAL CAMERA0187.JPG,33.12442398071289,25.9388370513916,30.094532012939453,91.79722548309338
OLYMPUS DIGITAL CAMERA0188.JPG,33.00765609741211,26.138214111328125,29.237749099731445,94.07800863915134
OLYMPUS DIGITAL CAMERA0189.JPG,33.00765609741211,26.357267379760742,29.10422706604004,94.56975030154074
OLYMPUS DIGITAL CAMERA0190.JPG,32.99543762207031,25.955524444580078,29.501693725585938,95.4084244921278
OLYMPUS DIGITAL CAMERA0191.JPG,32.98954772949219,26.264251708984375,29.304338455200195,94.86850802960754
OLYMPUS DIGITAL CAMERA0192.JPG,33.252281188964844,26.443967819213867,29.607152938842773,93.78578369547299
OLYMPUS DIGITAL CAMERA0193.JPG,33.13230514526367,26.284624099731445,29.40839195251465,94.63122326596235
OLYMPUS DIGITAL CAMERA0194.JPG,33.25180435180664,26.672203063964844,29.20052146911621,94.6329269863929
OLYMPUS DIGITAL CAMERA0195.JPG,33.373260498046875,26.685285568237305,29.50478744506836,94.18820964811984
OLYMPUS DIGITAL CAMERA0196.JPG,33.25606155395508,26.757410049438477,29.35753059387207,94.39547591664625
OLYMPUS DIGITAL CAMERA0197.JPG,33.34669876098633,26.45768928527832,29.847978591918945,93.78798611757979
OLYMPUS DIGITAL CAMERA0198.JPG,33.252281188964844,26.514883041381836,29.28142547607422,95.10539093624513
OLYMPUS DIGITAL CAMERA0199.JPG,33.35658645629883,26.75214195251465,29.73527717590332,93.08168941163792
OLYMPUS DIGITAL CAMERA0200.JPG,33.356109619140625,26.663000106811523,29.949913024902344,93.99459808763714
OLYMPUS DIGITAL CAMERA0201.JPG,33.35983657836914,26.694007873535156,30.28743553161621,93.4458835190865
OLYMPUS DIGITAL CAMERA0202.JPG,33.95148468017578,26.688396453857422,30.49529457092285,93.5900900128612
OLYMPUS DIGITAL CAMERA0203.JPG,33.70566940307617,26.810379028320312,29.884784698486328,94.41401187583
OLYMPUS DIGITAL CAMERA0204.JPG,33.91743469238281,26.68910026550293,30.43194007873535,94.01605160372615
OLYMPUS DIGITAL CAMERA0205.JPG,33.68745422363281,26.83165740966797,30.275257110595703,94.08717282117104
OLYMPUS DIGITAL CAMERA0206.JPG,34.04156494140625,27.013225555419922,30.795963287353516,93.08955083083067
OLYMPUS DIGITAL CAMERA0207.JPG,33.792572021484375,26.918004989624023,30.64713478088379,93.90237011087633
OLYMPUS DIGITAL CAMERA0208.JPG,33.90282440185547,26.86321449279785,30.884906768798828,93.4759138537354
OLYMPUS DIGITAL CAMERA0209.JPG,33.876983642578125,27.37222671508789,30.78985595703125,93.49361585737452
OLYMPUS DIGITAL CAMERA0210.JPG,34.12453842163086,27.335744857788086,31.003116607666016,93.47000107114043
OLYMPUS DIGITAL CAMERA0211.JPG,34.103782653808594,27.379642486572266,30.683406829833984,94.0982227907456
OLYMPUS DIGITAL CAMERA0212.JPG,34.10553741455078,27.70866584777832,30.88077163696289,92.62735189928108
OLYMPUS DIGITAL CAMERA0213.JPG,34.34724044799805,27.28538703918457,30.997413635253906,95.42404186464299
OLYMPUS DIGITAL CAMERA0214.JPG,34.363182067871094,27.374662399291992,31.290592193603516,94.53998081720108
OLYMPUS DIGITAL CAMERA0215.JPG,34.24382400512695,27.349857330322266,31.13324737548828,95.56637464651222
OLYMPUS DIGITAL CAMERA0216.JPG,34.36256408691406,27.579334259033203,31.485824584960938,95.1441368173511
OLYMPUS DIGITAL CAMERA0217.JPG,34.68529510498047,27.887910842895508,31.548507690429688,94.30598245164042
OLYMPUS DIGITAL CAMERA0218.JPG,34.68326187133789,28.197769165039062,31.481603622436523,93.80593726496892
OLYMPUS DIGITAL CAMERA0219.JPG,34.55675506591797,28.318592071533203,30.82075309753418,95.39241904379467
OLYMPUS DIGITAL CAMERA0220.JPG,34.679771423339844,28.407470703125,30.97809410095215,94.8565197362435
OLYMPUS DIGITAL CAMERA0221.JPG,34.559043884277344,28.321264266967773,30.901399612426758,95.2001217382086
OLYMPUS DIGITAL CAMERA0222.JPG,34.82383346557617,28.199230194091797,31.51120948791504,94.4021019348987
OLYMPUS DIGITAL CAMERA0223.JPG,34.677490234375,28.480825424194336,30.897626876831055,94.88296007237582
OLYMPUS DIGITAL CAMERA0224.JPG,34.826168060302734,28.283267974853516,31.578216552734375,93.76540257210796
OLYMPUS DIGITAL CAMERA0225.JPG,34.67563247680664,28.407470703125,31.178560256958008,94.365487026122
OLYMPUS DIGITAL CAMERA0226.JPG,34.69914627075195,28.34185028076172,31.20639991760254,94.48726413952883
OLYMPUS DIGITAL CAMERA0227.JPG,34.80316162109375,28.19172477722168,31.42966079711914,94.57734361042523
OLYMPUS DIGITAL CAMERA0228.JPG,34.806068420410156,28.348255157470703,31.416240692138672,93.97002691988762
OLYMPUS DIGITAL CAMERA0229.JPG,34.82474136352539,27.74222183227539,31.591535568237305,95.21068464636602
OLYMPUS DIGITAL CAMERA0230.JPG,34.82383346557617,28.199230194091797,31.10252571105957,95.10170938312055
OLYMPUS DIGITAL CAMERA0231.JPG,35.04216766357422,28.580760955810547,31.06553077697754,94.33817503773717
OLYMPUS DIGITAL CAMERA0232.JPG,34.79912567138672,28.259445190429688,30.988468170166016,95.48495996631182
OLYMPUS DIGITAL CAMERA0233.JPG,35.03512954711914,28.36309814453125,31.78411865234375,93.3996706246891
OLYMPUS DIGITAL CAMERA0234.JPG,35.17329406738281,28.139192581176758,31.567171096801758,95.37408235352092
OLYMPUS DIGITAL CAMERA0235.JPG,35.15375518798828,28.50712013244629,31.822696685791016,94.81362247884516
OLYMPUS DIGITAL CAMERA0236.JPG,35.170433044433594,28.432411193847656,31.990947723388672,95.50139202435659
OLYMPUS DIGITAL CAMERA0237.JPG,35.17583465576172,28.435657501220703,32.12729263305664,94.87196934522782
OLYMPUS DIGITAL CAMERA0238.JPG,35.89714813232422,28.451383590698242,32.42336654663086,94.45853081378141
OLYMPUS DIGITAL CAMERA0239.JPG,35.772491455078125,28.674577713012695,32.32920837402344,94.20224059305006
OLYMPUS DIGITAL CAMERA0240.JPG,35.68750762939453,28.51166534423828,32.043636322021484,95.23441518793172
OLYMPUS DIGITAL CAMERA0241.JPG,35.82520294189453,28.665943145751953,32.519187927246094,94.07985319360283
OLYMPUS DIGITAL CAMERA0242.JPG,35.92196273803711,28.597515106201172,32.74130630493164,93.7036768507748
OLYMPUS DIGITAL CAMERA0243.JPG,35.93898010253906,28.523284912109375,32.756805419921875,94.16338002883184
OLYMPUS DIGITAL CAMERA0244.JPG,35.95375442504883,28.597259521484375,32.39904022216797,94.54125009341178
OLYMPUS DIGITAL CAMERA0245.JPG,36.050418853759766,29.19376564025879,32.66219711303711,93.83632530961245
